student_id,gender,lunch,school,classroom
2FHT3,Female,Does not qualify,ANKYI,6OL
3JIVH,Female,Does not qualify,ANKYI,6OL
3XOWE,Male,Does not qualify,ANKYI,6OL
556O0,Female,Does not qualify,ANKYI,6OL
74LOE,Male,Does not qualify,ANKYI,6OL
7YZO8,Female,Does not qualify,ANKYI,6OL
9KMZD,Male,Does not qualify,ANKYI,6OL
9USQK,Female,Does not qualify,ANKYI,6OL
CS5QP,Male,Does not qualify,ANKYI,6OL
D6HT8,Female,Does not qualify,ANKYI,6OL
DZMKU,Male,Does not qualify,ANKYI,6OL
FH7B9,Male,Does not qualify,ANKYI,6OL
JI9VG,Male,Does not qualify,ANKYI,6OL
JQM2W,Female,Does not qualify,ANKYI,6OL
MEUC4,Female,Does not qualify,ANKYI,6OL
R4U8H,Male,Does not qualify,ANKYI,6OL
TH7KI,Male,Does not qualify,ANKYI,6OL
U1FV7,Male,Does not qualify,ANKYI,6OL
WC5I6,Female,Does not qualify,ANKYI,6OL
ZBQ4T,Male,Does not qualify,ANKYI,6OL
0CRO6,Male,Does not qualify,ANKYI,ZNS
1QMDI,Male,Does not qualify,ANKYI,ZNS
3CFUK,Male,Does not qualify,ANKYI,ZNS
447O0,Male,Does not qualify,ANKYI,ZNS
4IDEM,Female,Qualifies for reduced/free lunch,ANKYI,ZNS
5UQNP,Male,Does not qualify,ANKYI,ZNS
AV95M,Female,Does not qualify,ANKYI,ZNS
BX6I6,Female,Does not qualify,ANKYI,ZNS
EYFXR,Male,Does not qualify,ANKYI,ZNS
FFC9M,Male,Does not qualify,ANKYI,ZNS
GGT4A,Male,Does not qualify,ANKYI,ZNS
HRZOJ,Female,Does not qualify,ANKYI,ZNS
IFC62,Male,Does not qualify,ANKYI,ZNS
LLQI3,Female,Does not qualify,ANKYI,ZNS
OCJE3,Female,Does not qualify,ANKYI,ZNS
OGW1F,Female,Does not qualify,ANKYI,ZNS
Q5QRY,Female,Does not qualify,ANKYI,ZNS
TJRIV,Female,Does not qualify,ANKYI,ZNS
U24U5,Female,Does not qualify,ANKYI,ZNS
VKX2N,Female,Does not qualify,ANKYI,ZNS
ZTROF,Male,Does not qualify,ANKYI,ZNS
1IALS,Female,Does not qualify,CCAAW,2B1
5NDXD,Male,Qualifies for reduced/free lunch,CCAAW,2B1
