student_id,school,gender,lunch,pretest,posttest
2FHT3,ANKYI,Female,Does not qualify,62.0,72.0
3JIVH,ANKYI,Female,Does not qualify,66.0,79.0
3XOWE,ANKYI,Male,Does not qualify,64.0,76.0
556O0,ANKYI,Female,Does not qualify,61.0,77.0
74LOE,ANKYI,Male,Does not qualify,64.0,76.0
7YZO8,ANKYI,Female,Does not qualify,66.0,74.0
9KMZD,ANKYI,Male,Does not qualify,63.0,75.0
9USQK,ANKYI,Female,Does not qualify,63.0,72.0
CS5QP,ANKYI,Male,Does not qualify,64.0,77.0
D6HT8,ANKYI,Female,Does not qualify,61.0,72.0
DZMKU,ANKYI,Male,Does not qualify,61.0,73.0
FH7B9,ANKYI,Male,Does not qualify,64.0,74.0
JI9VG,ANKYI,Male,Does not qualify,66.0,78.0
JQM2W,ANKYI,Female,Does not qualify,60.0,71.0
MEUC4,ANKYI,Female,Does not qualify,64.0,77.0
R4U8H,ANKYI,Male,Does not qualify,64.0,73.0
TH7KI,ANKYI,Male,Does not qualify,63.0,70.0
U1FV7,ANKYI,Male,Does not qualify,67.0,73.0
WC5I6,ANKYI,Female,Does not qualify,63.0,71.0
ZBQ4T,ANKYI,Male,Does not qualify,64.0,73.0
0CRO6,ANKYI,Male,Does not qualify,60.0,68.0
1QMDI,ANKYI,Male,Does not qualify,60.0,70.0
3CFUK,ANKYI,Male,Does not qualify,57.0,66.0
447O0,ANKYI,Male,Does not qualify,57.0,70.0
4IDEM,ANKYI,Female,Qualifies for reduced/free lunch,56.0,65.0
5UQNP,ANKYI,Male,Does not qualify,58.0,67.0
AV95M,ANKYI,Female,Does not qualify,60.0,70.0
BX6I6,ANKYI,Female,Does not qualify,60.0,67.0
EYFXR,ANKYI,Male,Does not qualify,54.0,63.0
FFC9M,ANKYI,Male,Does not qualify,60.0,75.0
GGT4A,ANKYI,Male,Does not qualify,58.0,66.0
HRZOJ,ANKYI,Female,Does not qualify,66.0,71.0
IFC62,ANKYI,Male,Does not qualify,60.0,76.0
LLQI3,ANKYI,Female,Does not qualify,59.0,69.0
OCJE3,ANKYI,Female,Does not qualify,57.0,69.0
OGW1F,ANKYI,Female,Does not qualify,60.0,68.0
Q5QRY,ANKYI,Female,Does not qualify,61.0,71.0
TJRIV,ANKYI,Female,Does not qualify,61.0,66.0
U24U5,ANKYI,Female,Does not qualify,59.0,69.0
VKX2N,ANKYI,Female,Does not qualify,62.0,72.0
ZTROF,ANKYI,Male,Does not qualify,60.0,66.0
1IALS,CCAAW,Female,Does not qualify,61.0,75.0
5NDXD,CCAAW,Male,Qualifies for reduced/free lunch,58.0,78.0
6DCTV,CCAAW,Female,Qualifies for reduced/free lunch,64.0,82.0
6OB0S,CCAAW,Male,Qualifies for reduced/free lunch,58.0,77.0
AITPY,CCAAW,Male,Does not qualify,65.0,87.0
B8B6G,CCAAW,Male,Does not qualify,65.0,80.0
C0UW3,CCAAW,Female,Qualifies for reduced/free lunch,62.0,75.0
CD1MB,CCAAW,Male,Qualifies for reduced/free lunch,58.0,73.0
F4ZHY,CCAAW,Male,Qualifies for reduced/free lunch,59.0,74.0
GT9F2,CCAAW,Male,Qualifies for reduced/free lunch,59.0,74.0
L5T1W,CCAAW,Male,Qualifies for reduced/free lunch,63.0,76.0
MVXN3,CCAAW,Female,Does not qualify,63.0,78.0
N7XOT,CCAAW,Male,Does not qualify,59.0,77.0
NKP72,CCAAW,Male,Qualifies for reduced/free lunch,61.0,77.0
QJVAM,CCAAW,Male,Qualifies for reduced/free lunch,55.0,72.0
V6ZA8,CCAAW,Male,Does not qualify,66.0,83.0
X4NP9,CCAAW,Female,Does not qualify,67.0,81.0
YEJFP,CCAAW,Female,Does not qualify,68.0,79.0
2RA1H,CCAAW,Female,Does not qualify,63.0,80.0
2U37U,CCAAW,Female,Qualifies for reduced/free lunch,63.0,83.0
30219,CCAAW,Male,Does not qualify,66.0,82.0
3RJO7,CCAAW,Female,Does not qualify,67.0,84.0
42OS6,CCAAW,Female,Qualifies for reduced/free lunch,67.0,83.0
4B72M,CCAAW,Male,Does not qualify,73.0,85.0
7D9JO,CCAAW,Male,Does not qualify,68.0,87.0
7QNXG,CCAAW,Female,Qualifies for reduced/free lunch,70.0,91.0
8HMCH,CCAAW,Female,Qualifies for reduced/free lunch,74.0,85.0
8W6N8,CCAAW,Female,Does not qualify,64.0,83.0
BVGDA,CCAAW,Male,Qualifies for reduced/free lunch,62.0,78.0
CFICH,CCAAW,Female,Does not qualify,76.0,84.0
DTGZA,CCAAW,Female,Does not qualify,73.0,86.0
EEJ6S,CCAAW,Male,Does not qualify,65.0,87.0
JSYRI,CCAAW,Female,Does not qualify,66.0,79.0
KGFXN,CCAAW,Female,Does not qualify,66.0,84.0
KTSGX,CCAAW,Female,Does not qualify,66.0,82.0
SAKZI,CCAAW,Female,Qualifies for reduced/free lunch,65.0,83.0
XAHWJ,CCAAW,Female,Qualifies for reduced/free lunch,63.0,78.0
XP6HQ,CCAAW,Female,Qualifies for reduced/free lunch,68.0,84.0
0ZAWS,CCAAW,Female,Does not qualify,65.0,79.0
4CE6S,CCAAW,Female,Does not qualify,70.0,83.0
DB15U,CCAAW,Female,Qualifies for reduced/free lunch,65.0,81.0
GFIP5,CCAAW,Female,Qualifies for reduced/free lunch,61.0,74.0
GJ8SE,CCAAW,Male,Qualifies for reduced/free lunch,63.0,77.0
GYLNC,CCAAW,Female,Does not qualify,62.0,82.0
H1H52,CCAAW,Male,Does not qualify,69.0,81.0
JPSF7,CCAAW,Male,Qualifies for reduced/free lunch,63.0,75.0
KW69V,CCAAW,Male,Qualifies for reduced/free lunch,62.0,81.0
MY8XT,CCAAW,Female,Qualifies for reduced/free lunch,63.0,77.0
NKEK5,CCAAW,Male,Qualifies for reduced/free lunch,59.0,74.0
PCELB,CCAAW,Male,Does not qualify,63.0,80.0
VLKJU,CCAAW,Male,Does not qualify,66.0,76.0
WI916,CCAAW,Female,Does not qualify,59.0,77.0
WO5E2,CCAAW,Male,Qualifies for reduced/free lunch,60.0,74.0
0U8DI,CCAAW,Female,Qualifies for reduced/free lunch,68.0,76.0
18YOG,CCAAW,Male,Qualifies for reduced/free lunch,74.0,82.0
4YN68,CCAAW,Female,Qualifies for reduced/free lunch,63.0,73.0
905ZT,CCAAW,Female,Qualifies for reduced/free lunch,73.0,78.0
9WYVP,CCAAW,Male,Does not qualify,75.0,83.0
A1554,CCAAW,Female,Does not qualify,78.0,84.0
BWRTH,CCAAW,Female,Qualifies for reduced/free lunch,69.0,78.0
CNECS,CCAAW,Male,Qualifies for reduced/free lunch,73.0,81.0
E8RRO,CCAAW,Male,Qualifies for reduced/free lunch,74.0,80.0
I2TFD,CCAAW,Female,Does not qualify,73.0,80.0
I4BNO,CCAAW,Female,Qualifies for reduced/free lunch,68.0,82.0
IY6DQ,CCAAW,Female,Does not qualify,72.0,84.0
LB8XY,CCAAW,Female,Does not qualify,73.0,80.0
LHBRT,CCAAW,Male,Does not qualify,71.0,91.0
NVH1O,CCAAW,Male,Does not qualify,73.0,80.0
O4BQF,CCAAW,Female,Does not qualify,76.0,80.0
ODYMF,CCAAW,Female,Does not qualify,70.0,84.0
QLX2Z,CCAAW,Female,Does not qualify,71.0,78.0
QPPQJ,CCAAW,Male,Does not qualify,76.0,85.0
ST8FC,CCAAW,Female,Does not qualify,72.0,83.0
XTC1Q,CCAAW,Male,Does not qualify,71.0,83.0
0MRJH,CCAAW,Female,Qualifies for reduced/free lunch,49.0,68.0
1RN82,CCAAW,Female,Does not qualify,55.0,70.0
